0	0	4
1	0	5
2	0	5
3	0	5
4	0	4
5	1	1
6	1	2
7	1	5
8	1	5
9	1	5
10	2	5
11	2	1
12	2	5
13	2	4
14	2	4
15	3	5
16	3	2
17	3	5
18	3	5
19	3	5
20	4	5
21	4	5
22	4	5
23	4	5
24	4	5
25	5	5
26	5	1
27	5	5
28	5	5
29	5	5
30	6	1
31	6	5
32	6	1
33	6	5
34	6	3
35	7	1
36	7	5
37	7	4
38	7	5
39	7	4
40	8	3
41	8	4
42	8	1
43	8	1
44	8	1
45	9	4
46	9	1
47	9	5
48	9	1
49	9	1
50	10	5
51	10	5
52	10	4
53	10	4
54	10	5
55	11	5
56	11	5
57	11	5
58	11	5
59	11	4
60	12	5
61	12	5
62	12	5
63	12	5
64	12	3
65	13	5
66	14	5
67	14	5
68	14	5
69	14	5
70	14	5
71	15	5
72	15	5
73	15	5
74	15	1
75	15	4
76	16	5
77	16	3
78	16	1
79	16	1
80	16	5
81	17	1
82	17	5
83	17	5
84	17	5
85	17	5
86	18	5
87	19	4
88	19	5
89	19	2
90	19	5
91	19	5
92	20	4
93	20	2
94	20	3
95	20	3
96	20	5
97	21	5
98	21	1
99	21	1
100	21	1
101	21	1
102	22	5
103	22	5
104	22	5
105	22	5
106	22	5
107	23	5
108	23	5
109	23	5
110	23	5
111	23	5
112	24	5
113	24	3
114	24	1
115	24	3
116	24	2
75	25	4
117	25	5
118	25	5
119	25	5
120	25	5
121	26	4
122	26	5
123	26	5
124	26	5
125	26	5
126	27	4
127	27	1
128	27	4
129	27	5
130	27	5
131	28	4
132	28	5
133	28	5
134	28	5
135	28	5
136	29	4
137	30	5
138	30	4
135	30	5
139	30	5
140	30	5
141	31	4
142	31	1
143	31	5
132	32	4
144	32	5
145	32	1
146	32	2
147	32	5
148	33	5
149	33	5
150	33	5
151	33	5
152	33	5
145	34	1
153	34	5
154	34	5
155	34	5
156	34	5
157	35	4
135	35	5
158	35	4
159	35	3
160	35	1
135	36	5
161	36	5
162	36	4
163	36	1
164	36	5
165	37	5
166	37	5
167	37	5
168	37	4
169	37	5
131	38	4
170	38	5
171	38	1
172	38	4
129	38	4
173	39	5
